Name,EVS ID,Histology,Do not code,Remarks,Alternate Name,Primary Site,Abbreviation,NSC number,Category,Sub-category
JNJ-68284528,,Multiple myeloma,NO,"12/16/2019 FDA granted Breakthrough Therapy Designation for JNJ-68284528 (JNJ-4528), an investigational B cell maturation antigen-directed chimeric antigen receptor T-cell therapy in previously treated patients with multiple myeloma.",JNJ-4528,,,,"Biologic therapy (BRM, immunotherapy)",C-ART
Javelin,,,NO,Phase I/II melanoma Vaccine. Mojave Therapeutics.,,Skin cancer,,,"Biologic therapy (BRM, immunotherapy)",Vaccine
Jelmyto,,,NO,"April 15, 2020 The FDA approved Jelmyto (mitomycin gel), the first therapy to treat low-grade upper tract urothelial cancer (UTUC). Urothelial cancer is a cancer of the lining of the urinary system.",mitomycin gel,Bladder,,,Chemotherapy,Alkylating agent;anti neoplastic antibiotic
Jemperli,,,NO,"August 17, 2021 The FDA granted accelerated approval to dostarlimab-gxly (Jemperli) for adult patients with mismatch repair deficient (dMMR) recurrent or advanced solid tumors, as determined by an FDA-approved test, that have progressed on or following prior treatment and who have no satisfactory alternative treatment options. 

April 22, 2021 The FDA  granted accelerated approval to Jemperli (dostarlimab) for treating patients with recurrent or advanced endometrial cancer that has progressed on or following prior treatment with a platinum-containing chemotherapy and whose cancers have a specific genetic feature known as dMMR (which contain abnormalities that affect the proper repair of DNA inside the cell), as determined by an FDA-approved test.",Dostarlimab,"Enometrium, solid tumors",,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody
KB004,,,NO,"New drug currently in trials, code in other therapy",Anti-EphA3 antibody,,,,Chemotherapy,Eph receptor tyrosine kinases
KDR/VEGFR-2,,,NO,Pre-clinical Vascular endothelial growth factor tyrosine kinase inhibitor. Abbott Laboratories.,,Other cancer,,,"Biologic therapy (BRM, immunotherapy)",
KOS-1022,,,NO,Phase I solid tumors; Phase I heme Kosan.  2nd generation geldanamycin analog,KOS 1022;KOS1022,hematopoietic;Solid tumors,DMAG,,Chemotherapy,Targeted therapy--heat shock protein
KRN 5500,,,NO,"Phase I NCI, Kirin.",,Other cancer,,650426,Chemotherapy,Alkylating agent
KS-IL2,,,NO,Phase II Interleukin-2. Lexigen Pharmaceuticals.,,Other cancer,,,"Biologic therapy (BRM, immunotherapy)",
KSA Vaccine,,,NO,Phase II Vaccine. Jenner Biotherapies.,,Colorectal cancer,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
KW-0761,,,NO,"II New drug currently in trials, code in other therapy",,Adult T-cell leukemia/lymphoma;peripheral T-cell leukemia/lymphoma,,NCT00355472,Chemotherapy,Monoclonal antibody
KW-2871,,,NO,Phase I/II melanoma Chimeric monoclonal antibody. Kyowa Hakko Kogyo Co.,,Skin cancer,,,"Biologic therapy (BRM, immunotherapy)",
Kahalalide F,,,NO,Pre-clinical Diepsipeptide apoptotic. PharmaMar.,,Prostate cancer,,,Chemotherapy,Natural product--sea slug
Kanjinti,,,NO,"June 13, 2019: FDA  approved Kanjinti (trastuzumab-anns), biosimilar to U.S.-licensed Herceptin (trastuzumab).
A biosimilar product is a biological product that is approved based on a showing that it is highly similar to an already-FDA approved biological product, known as a reference product. The biosimilar also must be shown to have no clinically meaningful differences in terms of safety and effectiveness from the reference product.",,,,,"Biologic therapy (BRM, immunotherapy)",Biosimilar
Karenitecin,,,NO,Phase II NCI,BNP 1350;BNP-1350;BNP1350,Brain,,710270,Chemotherapy,Topoisomerase inhibitor
Keratinocyte Growth Factor,,,YES,Phase II Amgen.,KGF,Other cancer,,,Ancillary Agent,
Ketoconazole,,,NO,"An imidazole antifungal agent, has been evaluated in the treatment of advanced prostate cancer, has been designated an orphan product for use in the treatment of nephrotoxicity induced by cyclosporine. ",Apo-Ketoconazole;Nizoral;Norizol;Novo-Ketonconazole;Nu-Ketocon;R-41400,As a testosterone blocker for advanced prostate cancer;as an antifungal for AIDS;opportunistic infections,,317629,Hormones and hormonal mechanisms,Antiandrogenic
Ketorolac Tromethamine,,,YES,A nonsteroidal antiinflammatory agent with potent analgesic properties.,Acular;Ketorolac Trometamol;RS-37619;Toradol,,BDPC;DPP,,Ancillary Agent,
Keytruda,,"Melanoma, NSCLC, Hodgkin lymphoma, urothelial carcinoma, GI adenocarcinoma, Merkle cell carcinoma",NO,"November 12, 2021 FDA approved the anti-PD-1 therapy Keytruda (pembrolizumab) for the adjuvant treatment of patients with renal cell carcinoma at intermediate-high or high risk of recurrence following nephrectomy,  or following nephrectomy and resection of metastatic lesions.

10/13/2021 The FDA approved pembrolizumab (Keytruda) in combination with chemotherapy, with or without bevacizumab, for patients with persistent, recurrent or metastatic cervical cancer whose tumors express PD-L1 (CPS ≥1), as determined by an FDA-approved test. 

9/3/2021 Keytruda plus Lenvima have received FDA approval as first-line treatment of adult patients with advanced renal cell carcinoma. Coding note: code each agent in the appropriate treatment field: BRM for Keytruda, chemo for Lenvima.

7/9/2021 Keytruda has received an expanded label approval from FDA as monotherapy for the treatment of patients with locally advanced cutaneous squamous cell carcinoma (cSCC) that is not curable by surgery or radiation

7/21/2021 The FDA approved pembrolizumab (Keytruda, Merck) in combination with lenvatinib (Lenvima) for patients with advanced endometrial carcinoma that is not microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR), who have disease progression following prior systemic therapy in any setting and are not candidates for curative surgery or radiation.
 
7/26/2021 The FDA approved pembrolizumab (Keytruda) for high-risk, early-stage, triple-negative breast cancer (TNBC) in combination with chemotherapy as neoadjuvant treatment, and then continued as a single agent as adjuvant treatment after surgery. 

May 5, 2021 The FDA granted accelerated approval to pembrolizumab (Keytruda) in combination with trastuzumab, fluoropyrimidine- and platinum-containing chemotherapy for the first-line treatment of patients with locally advanced unresectable or metastatic HER2 positive gastric or gastroesophageal junction (GEJ) adenocarcinoma

March 22, 2021: FDA approved pembrolizumab (Keytruda), in combination with platinum and fluoropyrimidine-based chemotherapy for patients with metastatic or locally advanced esophageal or gastroesophageal (GEJ) (tumors with epicenter 1 to 5 centimeters above the gastroesophageal junction) carcinoma who are not candidates for surgical resection or definitive chemoradiation

November 13, 2020: The FDA granted accelerated approval to pembrolizumab (KEYTRUDA) in combination with chemotherapy for the treatment of patients with locally recurrent unresectable or metastatic triple-negative breast cancer (TNBC) whose tumors express PD-L1 (CPS ≥10) as determined by an FDA approved test. 

October 16, 2020: Keytruda (pembrolizumab) has received an expanded label use from FDA as monotherapy for the treatment of adult patients with relapsed or refractory classical Hodgkin lymphoma. 
FDA also approved an updated pediatric indication for Keytruda for the treatment of pediatric patients with refractory cHL, or cHL that has relapsed after two or more lines of therapy.

6/29/2020 The FDA approved Keytruda (pembrolizumab) for intravenous injection for the first-line treatment of patients with unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) colorectal cancer. This marks the first immunotherapy approved for this patient population as a first-line treatment and which is administered to patients without also giving chemotherapy

6/24/2020 The FDA approved pembrolizumab (KEYTRUDA) for patients with recurrent or metastatic cutaneous squamous cell carcinoma (cSCC) that is not curable by surgery or radiation 

6/19/2020 Keytruda was approved by FDA as monotherapy for the treatment of adult and pediatric patients with unresectable or metastatic tumor mutational burden-high (TMB-H) [≥10 mutations/ megabase (mut/Mb)] solid tumors, as determined by an FDA-approved test, that have progressed following prior treatment and who have no satisfactory alternative treatment options, regardless of tumor type.

June 16, 2020: The FDA granted accelerated approval to pembrolizumab (KEYTRUDA) for the treatment of adult and pediatric patients with unresectable or metastatic tumor mutational burden-high (TMB H) [≥10 mutations/megabase (mut/Mb)] solid tumors, as determined by an FDA-approved test, that have progressed following prior treatment and who have no satisfactory alternative treatment options. 

January 8, 2020 The FDA approved pembrolizumab (KEYTRUDA) for the treatment of patients with Bacillus Calmette-Guerin (BCG)-unresponsive, high-risk, non-muscle invasive bladder cancer (NMIBC) with carcinoma in situ (CIS) with or without papillary tumors who are ineligible for or have elected not to undergo cystectomy. 

9/20/2019 FDA has granted accelerated approval to the combination of Merck’s Keytruda (pembrolizumab) plus Lenvima (lenvatinib) for the treatment of patients with advanced endometrial carcinoma that is not microsatellite instability high or mismatch repair deficient and who have disease progression following prior systemic therapy but are not candidates for curative surgery or radiation.

July 30, 2019 FDA approves pembrolizumab for advanced esophageal squamous cell cancer

June 10, 2019: FDA approved pembrolizumab (KEYTRUDA) for the first-line treatment of patients with metastatic or unresectable recurrent head and neck squamous cell carcinoma (HNSCC). 
FDA granted accelerated approval to pembrolizumab (KEYTRUDA, Merck) for patients with metastatic small cell lung cancer (SCLC) with disease progression on or after platinum-based chemotherapy and at least one other prior line of therapy

April 19, 2019: FDA approved pembrolizumab (KEYTRUDA) plus axitinib for the first-line treatment of patients with advanced renal cell carcinoma (RCC). 

February 15, 2019 FDA approved pembrolizumab (KEYTRUDA, Merck) for the adjuvant treatment of patients with melanoma with involvement of lymph node(s) following complete resection. 

12/19/2018 FDA granted accelerated approval to pembrolizumab (KEYTRUDA) for adult and pediatric patients with recurrent locally advanced or metastatic Merkel cell carcinoma (MCC).  

November 9, 2018: FDA granted accelerated approval to pembrolizumab (KEYTRUDA) for patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib.  

October 30, 2018: FDA approved pembrolizumab (KEYTRUDA) in combination with carboplatin and either paclitaxel or nab-paclitaxel as first-line treatment of metastatic squamous non-small cell lung cancer (NSCLC). 

August 17, 2018: FDA approved pembrolizumab (KEYTRUDA, Merck & Co., Inc.) in combination with pemetrexed and platinum as first-line treatment of patients with metastatic, non-squamous non-small cell lung cancer (NSqNSCLC), with no EGFR or ALK genomic tumor aberrations. .

On June 12, 2018, the Food and Drug Administration approved pembrolizumab (Keytruda®) for patients with recurrent or metastatic cervical cancer with disease progression on or after chemotherapy whose tumors express PD-L1 (CPS ≥1) as determined by an FDA-approved test

9/29/2017: FDA has approved Keytruda (pembrolizumab), Merck’s anti-PD-1 therapy, for the treatment of patients with recurrent locally advanced or metastatic gastric or gastroesophageal junction adenocarcinoma whose tumors express PD-L1 [Combined Positive Score (CPS) ≥1] as determined by an FDA-approved test, with disease progression on or after two or more prior lines of therapy including fluoropyrimidine-and platinum-containing chemotherapy and if appropriate, HER2/neu-targeted therapy.

6/15/2018: FDA has granted an accelerated approval to pembrolizumab (Keytruda) for the treatment of adult and pediatric patients with refractory primary mediastinal large B-cell lymphoma, or who have relapsed after two or more prior lines of therapy.

5/23/217: FDA granted accelerated approval to pembrolizumab for adult and pediatric patients with unresectable or metastatic, microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) solid tumors that have progressed following prior treatment and who have no satisfactory alternative treatment options or with MSI-H or dMMR colorectal cancer that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan. May 23, 2017.  

5/18/2017: FDA granted regular approval to pembrolizumab (KEYTRUDA) for patients with locally advanced or metastatic urothelial carcinoma who have disease progression during or following platinum-containing chemotherapy or within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy.

5/10/2017: The U.S. Food and Drug Administration granted accelerated approval to pembrolizumab (KEYTRUDA) in combination with pemetrexed and carboplatin for the treatment of patients with previously untreated metastatic non-squamous non-small cell lung cancer (NSCLC). 

3/17/2017: FDA granted an accelerated approval to Keytruda (pembrolizumab) for the treatment of adult and pediatric patients with refractory classical Hodgkin lymphoma (cHL), or those who have relapsed after three or more prior lines of therapy.

September 2014 FDA granted accelerated approval to pembrolizumab for treatment of patients with unresectable or metastatic melanoma and disease progression.
Update to September 2014 announcement: Final FDA approval granted to Keytruda for treatment of patients with unresectable or metastatic melanoma.

October 28, 2014 FDA has designated Keytruda as breakthrough therapy for treatment of patients with EGRF-negative and ALK-negative non-small cell lung cancer (NSCLC) who have progressed during or after platinum-based chemotherapy. 

August 9, 2016 FDA granted accelerated approval of Keytruda in the treatment of recurrent or metastatic Head & Neck Squamous Cell Carcinoma (SCC) with disease progression on or after platinum-containing chemotherapy. 

October 24, 2016 FDA approved pembrolizumab (KEYTRUDA) for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1 as determined by an FDA-approved test.    

Breakthrough therapy designation is used by the FDA to accelerate the development and evaluation of an investigational drug that is intended to treat a serious or life-threatening illness.",MK-3475;SCH 900475;lambrolizumab;pembrolizumab,See remarks,,,"Biologic therapy (BRM, immunotherapy)",monoclonal antibody
"L-377,202",,,NO,Phase I Peptide doxorubicin conjugate. Merck.,,Prostate cancer,,,Chemotherapy,Antitumor antibiotic
"L-693,989",,,YES,Activity against PCP and Candida,,,,,AIDS drug,
L-697639,,,YES,,,,,,AIDS drug,
L-697661,,,YES,Inhibits HIV-1 reverse transcriptase,Pyridinone,,,,AIDS drug,
L-778123,,,NO,Phase I Farnesyl protein transferase inhibitor. Development discontinued due to severe toxicities. Merck.,,Pancreatic cancer,,,Chemotherapy,Not in current use
L-BSO,,,YES,Radiosensitizer,,,,326231,Ancillary Agent,
L-Leucovorin,,,YES,"Use in conjunction with high-dose methotrexate in the treatment of osteosarcoma, and in combination with 5-fluorouracil for the palliative treatment of metastatic adenocarcinoma of the colon and rectum.",Calcium levofolinate;Calcium Levoleucovorin;CL-307782;Fusilev;Isovorin;Levofolinate;Levofolinate Calcium;Levofolinic acid;Levoleucovorin;Levoleucovorin calcium,,,,Ancillary Agent,
L-VAX,,,NO,Phase I/II AML Vaccine. AVAX Technologies.,Autologous cell vaccine,Leukemia,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
LAF389,,,NO,Phase I Cytotoxic targeting methionine amniopeptide 1 & 2. Novartis Pharmaceuticals.,,Other cancer,,,Chemotherapy,Cytostatic agent--methionine aminopeptidase inhibitor
LAK cells,,,NO,,Lymphocyte activated killer cells,,,,"Biologic therapy (BRM, immunotherapy)",
LAQ824,,,NO,Phase I Histone deacetylase 1 & 2 inhibitor. Novartis Pharmaceuticals.,,Other cancer,,,Chemotherapy,Cytostatic agent--histone deacetylase inhibitor
LBH-589,,,NO,"II New drug currently in trials, code in other therapy",Faridak,AML;Hodgkin lymphoma;MDS;multiple myeloma,,,Chemotherapy,Pan-DAC inhibitor
LDI-200,,,NO,Phase III MDS Phase II AML Signaling. Milkhaus Laboratories.,Human chorionic gonadotropin,Leukemia,,,Chemotherapy,Cytostatic agent--apoptosis stimulator
LErafAON,,,NO,Phase I CML Phase II other Liposomal cRaf antisense oligomucleotide. NeoPharm.,,Leukemia;other cancer,,,Chemotherapy,Antisense oligonucleotide
LGD1550,,,NO,Phase I/II Synthetic RAR selective retinoid. Ligand Pharmaceuticals.,LGD 1550;LGD-1550,Cervical;head & neck;other cancer,,,Differentiation inducing agent;Differentiation,Synthetic aromatic retinoic acid agent
LHRH,,,NO,,,Prostate cancer,,,Hormones and hormonal mechanisms,Hormone inhibitor
LMB-1 Immunotoxin,,,NO,Phase I Immunotoxin. NCI.,,Colorectal cancer,,651311,Chemotherapy,Immunotoxin conjugated with monoclonal antibody
LMB-7 Immunotoxin,,,NO,Phase I Immunotoxin. NCI.,LMB-7 single chain immunotoxin,Colorectal cancer,,658931,Chemotherapy,Immunotoxin conjugated with monoclonal antibody
LMB-9,,,NO,"Phase I Immunotoxin. NCI, IVAX.",,Breast;colorectal;gastric cancer,,691236,Chemotherapy,Immunotoxin conjugated with monoclonal antibody
LMB-9 Immunotoxin,,,NO,Phase I Immunotoxin. NCI.,,Colorectal cancer,,,Chemotherapy,Immunotoxin conjugated with monoclonal antibody
LY-2181308,,,NO,"II New drug currently in trials, code in other therapy",,AML;Prostate,,,Chemotherapy,Apoptosis protein inhibitor
LY2275796,,,NO,Isis-Lilly.  Antisense agent in phase I trials 2006,LY 2275796;LY-2275796,,,,Chemotherapy,Antiangiogenic agent
LY2603618,,,NO,"Phase I&II New drug currently in trials, code as Other Therapy as it is not FDA approved",LY2603618,NSC Lung;Pancreas,,,Chemotherapy,Chk2 inhibitor
LY573636,,,NO,"Phase II soft tissue sarcoma, ovary 2007; Phase I advanced solid tumors 2007 Lilly",LY 573636;LY-573636,advanced solid tumors;ovary;STS,,,Chemotherapy,Cytostatic agent--apoptosis inducer
Lamivudine,,,NO,"Inhibits HIV replication through viral DNA chain termination. It is an antiretroviral agent that belongs to a class of drugs called nucleoside reverse transcripts inhibitors or "" NRTIs"".  LAMIVUDINE mimics a nucleoside base, which blocks further construction of the virus.",Combivir with Zidovudine;Epivir with Zidovudine;Epzicom with Abacavir;Kivexa with Abacavir;Trizivir with Zidovudine and Abacavir,HIV Virus,3TC,,AIDS drug,
Lanreotide Acetate,,,SEE_REMARKS,"This drug is usually considered ancillary treatment for neuroendocrine tumors as it relieves symptoms of neuroendocrine tumors but does not kill the tumor cells. HOWEVER, as of June 1, 2019, Somatuline Depot is the 1st and only FDA-approved treatment for adults both to slow the growth of gastrointestinal and pancreatic neuroendocrine tumors (GEP NETs) that have spread or cannot be removed by surgery. It also treats carcinoid syndrome to reduce the need for the use of short-acting somatostatin medicine.

How to code: IF given to treat carcinoid syndrome, do not code. If give or stated to be prescribed to treat the tumor, then code as hormone

This drug is indicated for the treatment of acromegaly when the circulating levels of growth hormone remain abnormal after surgery and/or radiotherapy, but also used for the treatment of thyrotrophic adenomas when the circulating level of thyroid stimulating hormone remains inappropriately high after surgery and/or radiotherapy. It may be used to treat pituitary tumors. If so, code as hormonal treatment.",BIM 23104;BIM-23014;BIM23014;Somatuline,,,,Hormones and hormonal mechanisms,growth hormone releasing hormone inhibitor;Somatostatin analogue
Lapatinib ditosylate,,,NO,GlaxoSmithKline.  FDA approved for breast 2007,GSK572016;GW572016;Tykerb,Breast,,727989,Chemotherapy,Tyrosine kinase inhibitor
Larotrectinib,,,NO,"November 26, 2018: FDA granted accelerated approval to larotrectinib (VITRAKVI) for adult and pediatric patients with solid tumors that have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation, that are either metastatic or where surgical resection is likely to result in severe morbidity, and who have no satisfactory alternative treatments or whose cancer has progressed following treatment",Vitrakvi,,,Trk Inhibitor,Chemotherapy,
Lasofoxifene,,,NO,"Phase III Selective estrogen receptor modulator (SERM). Ligand Pharmaceuticals, Pfizer",,Breast cancer,,,Hormones and hormonal mechanisms,Selective estrogen receptor modulator (SERM)
Lenalidomide,,,NO,"May 28, 2019: FDA approved lenalidomide (REVLIMID) in combination with a rituximab product for previously treated follicular lymphoma (FL) and previously treated marginal zone lymphoma (MZL). 


2/22/2017: FDA approved lenalidomide (Revlimid) as maintenance therapy for patients with multiple myeloma following autologous stem cell transplant.

July 2013 UPDATE: Revlimid received FDA approval for use in the treatment of mantle cell lymphoma (MCL) whose disease has relapsed after two prior therapies, one of which included bortezomib.

FDA approved for MDS 2005, for multiple myeloma 2006, orphan drug status CLL
Thalidomide analog immunomodulatory derivative.

February 20, 2015 update: FDA approved revlimid given in combination with dexamethasone as first course treatment for newly diagnosed multiple myeloma.",Revlimid;lenalidomide,5q- MDS;CLL;MDS;Multiple myeloma;melanoma;Lymphoma,,703813,"Biologic therapy (BRM, immunotherapy)",Cytostatic agent--antiangiogenesis agent
Lentinan,,,NO,A polysaccharide with immunomodulating activity. Undergoing evaluation for the treatment of acquired immunodeficiency syndrome (AIDS).(Bacteria & Fungi Lintinus Edodes biological) (immunomodulator),,AIDS;Opportunistic infection,LC-33,,"Biologic therapy (BRM, immunotherapy);AIDS drug",
Lenvima,,,NO,"October 2014: FDA granted priority review status to lenvatinib mesylate as a treatment for progressive radioactive iodine-refractory differentiated thyroid cancer. Lenvatinib was granted orphan drug designation in various types of thyroid cancer in the US, Japan, and Europe. It is currently under investigation in thyroid, hepatocellular, endometrial, non-small cell lung cancer, and other solid tumor types. 

May 13, 2016 FDA approved lenvatinib capsules (Lenvima, Eisai, Inc.), in combination with everolimus, for the treatment of advanced renal cell carcinoma following one prior anti-angiogenic therapy.  Lenvatinib was first approved in 2015 for the treatment of locally recurrent or metastatic, progressive, radioactive iodine-refractory differentiated thyroid cancer. 

 August 16, 2018: FDA approved lenvatinib capsules (Lenvima) for first-line treatment of patients with unresectable hepatocellular carcinoma (HCC).

Sept. 3, 201 Keytruda plus Lenvima have received FDA approval as first-line treatment of adult patients with advanced renal cell carcinoma.  Coding note: code each agent in the appropriate treatment fild: Lenvima in chemotherapy and Keytruda in BRM.",E7080;Lenvatinib;Lenvatinib mesylate,Lung;liver;lymphoma;thyroid,,,Chemotherapy,Multi-targeted kinase inhibitor;VEGFR inhibitor
Lestaurinib,,,NO,"Phase II AML 2007 Tyrosine kinase inhibitor. Cephalon, Inc., TAP Pharmaceuticals.",CEP 701;CEP-701;CEP701;KT 5555;KT-5555;KT5555,AML;leukemia;other cancer;Pancreatic;prostate,,,Chemotherapy,Tyrosine kinase inhibitor
Letrazuril,,,YES,Antiprotozoal. Rx of Cryptosporidiosis. Not found in Drugdex drug evaluation.,,AIDS;Opportunistic infection,,,AIDS drug,
Letrozole,,,NO,A nonsteroidal aromatase inhibitor. FDA approved for therapy of breast cancer. Novartis.,CGS-20267;Femara,Breast cancer,,719345,Hormones and hormonal mechanisms,Nonsteroidal aromatase inhibitor
Leucovorin,,,YES,The pharmacologically active form of folic acid. FDA approved uses as 1st line colorectal carcinoma in combination with 5-FU and to diminish methotrexate toxicity.,Calcium folinate;Calcium leucovorin;Calcium leucovorin rescue;Citrovorum Factor;Citrovorum factor rescue;Folic acid;Folinic Acid;Lederfoline;Leucosar;Leucovorin Calcium;Leucovorin rescue;Wellcovorin,,C.F.;CF;CL,3590;003590,Ancillary Agent,
Leukine,,,YES,"On March 29, 2018: The FDA approved use of Leukine (sargramostim) to increase survival in adult and pediatric patients acutely exposed to myelosuppressive doses of radiation (Hematopoietic Syndrome of Acute Radiation Syndrome, or H-ARS). Leukine can help patients with H-ARS by facilitating recovery of bone marrow cells that develop into white blood cells that help fight off infections.",CSF39300;Granulocyte macrophage colony-stimulating factor;Prokine;rGM-CSF;rhu GM-CSF;Sargramostim;GM-CSF,other cancer;Skin,,617589;643496;613795,Ancillary Agent,
Leuprolide Acetate,,,SEE_REMARKS,"December 2016 Update: Lupron as ovarian suppressor in pre-menopausal breast cancer has been approved by the FDA per NCI. Beginning with cases diagnosed 1/1/2017 forward, code as hormone therapy. 

Lupron is a gonadotropin-releasing hormone analogue. FDA approved its use on prostate cancer and should be coded as hormone therapy.

FOR BREAST CASES DIAGNOSED 1/1/2017 FORWARD: Code as hormone treatment

FOR BREAST CASES DIAGNOSED PRIOR TO 1/1/2017: 
The effectiveness of Lupron on patients with breast cancer was being studied in one clinical trial. This trial was looking at extended endocrine therapy for pre-menopausal women with breast cancer. This trial is looking at the drug combination of letrozole and leuprolide for women who have taken Tamoxifen for at least 4-5 years. This drug combination is used in the treatment for metastatic breast cancer and is sometimes used for treatment of early stage breast cancer. However, as of early December 2016 it has not been accepted as a standard of care treatment and had not yet received FDA approval for treatment of breast cancer. While it may not have received FDA approval, it can be used ""off label"" for other conditions. Lupron should be coded as ""Other Therapy"" until such time that it receives FDA approval.",Abbott-43818;Carcinil;Eligard;Leuprolide;Leuprorelin;Lupron;Lupron Depot;Lupron TAP;TAP-144;Viadur,Prostate cancer;See remarks for other site information;Breast;Ovary,,377526,Hormones and hormonal mechanisms,Gonadotropin-releasing hormone agonist
Leuprorelin,,,NO,Phase II Sustained release leuprolide product. Epic Therapeutics.,,Prostate cancer,,,Hormones and hormonal mechanisms,Gonadotropin-releasing hormone agonist
Leuvectin,,,NO,Phase II Immunotherapeutic protein. Vical.,,Kidney;prostate;skin cancer,,,"Biologic therapy (BRM, immunotherapy)",
Levamisole,,,NO,"Anthelmintic. Antiepileptic. Nootropic. Synthetic chemical, immunomodulator. FDA approved use on advanced colon carcinoma in conjunction with 5-FU.",Citarin L;Decaris;Ergamisol;ICI-59623;Ketrax;l-Tetramisole;L-Tetramisole HCl;Levamisol;Levamisole hydrochloride;Levomysol HCL;R-12564;Ripercol L;RP-20605;Tetramizole;Tramisol;Tramisole,,LEV,177023,"Biologic therapy (BRM, immunotherapy)",Immunomodulator
Levonantradol,,,YES,An antiemetic and analgesic. Not found in Drugdex drug evaluation.,556-1;CP-50;Levonantradol HCl;Levonantradol hydrochloride,,,331615,Ancillary Agent,
Levothyroxine Sodium,,,NO,"Synthroid should be coded as hormonal treatment for thyroid cancer. After thyroid surgery, the thyroid hormone medication levothyroxine (Levothroid, synthroid, etc) is prescribed often for life. This drug has two benefits: it supplies the missing hormone the thyroid would normally produce, and it suppresses the production of thyroid-simulating hormone (TSH) from the pituitary gland. High TSH levels could conceivably stimulate any remaining cancer cells to grow.

This drug is more commonly used in patients with  papillary, follicular carcinomas or one of their variants.",Alti-Thyroxine;Eltroxin;Euthroid;Euthyrox;L-Thyroxine;L-Tyrosine;Levo-T;Levotabs;Levothroid;Levothyroxine;Levoxine;Levoxyl;Proloid;Sodium Levothyroxine;Synthroid;Synthrox;Thyroid USP;Thyrolar;Thyroxine;Thysin;Tirosint,Thyroid,T4,,Hormones and hormonal mechanisms,Thyroid hormone--suppresses TSH
Levulan,,,YES,Phase I completed Photodynamic therapy.  Removes sun damage on skin.  DUSA Pharmaceuticals.,,Bladder cancer,5-ALA-PDT;ALA,,Ancillary Agent,Photosensitizer
Lidocaine,,,YES,An antiarrhythmic and local anesthetic agent of the amide type.,Aloe Vera Gel;Alphacaine;Anestacon;Anucaine;Bactine;Banadyne-3;D-Caine;Dermapain;Dilocaine;Duo-Trach Kit;Ela-Max;Embolex;Gold Bond Medicated Anti-Itch Cream;L-caine;Lida Mantle;Lidocaine Hydrochloride;Lidoderm;Lidoject-1;Lidomantle-HC;Lidomar;Lidopen Auto-Injector;Mylocaine;Nervocaine;No More Ouchies;Nulicaine;SHO-caine;Solarcaine Aloe Extra Burn Relief;Ultracaine;Xylocaine;Xylocard;Zilatin-L,,,,Ancillary Agent,
Lintuzumab,,,NO,"Orphan drug for MDS, AML; Phase III for AML Anti-CD33 humanized recombinant monoclonal antibody",Hu-M195 monoclonal antibody;HuG1-M195;HuG1-M195 monoclonal antibody;SGN 33;SGN-33,AML;MDS,MOAB HuG1-M195;MOAB HuM195,,Chemotherapy,Cytotoxic agent--Anti-CD33
Liothyronine Sodium,,,NO,"This drug should be coded as hormonal treatment for thyroid cancer. After thyroid surgery, the thyroid hormone medication such as cytomel and synthroid  are prescribed often for life. This drug has two benefits: it supplies the missing hormone the thyroid would normally produce, and it suppresses the production of thyroid-simulating hormone (TSH) from the pituitary gland. High TSH levels could conceivably stimulate any remaining cancer cells to grow.
",Basoprocin;Cynomel;Cyronine;Cytomel;Ibiothyron;L-Triiodothyronine;LT3;Tertroxin;Thyrolar;Triostat,,,80774,Hormones and hormonal mechanisms,Thyroid hormone--suppresses TSH
Liotrix,,,NO,"Thyroid hormone.  A mixture of liothyronine sodium and levothyroxine sodium in a ratio of 1:4 in terms of weight; used for replacement therapy in conditions in which there is deficient production of thyroid hormones, administered orally.",Euthroid;Thyrolar,,,,Hormones and hormonal mechanisms,Thyroid hormone--suppresses TSH
Liposomal SN38,,,NO,Phase II colorectal 2007 NeoPharm.  Sencor.,LE-SN38;Liposomal SN38;Liposome Encapsulated SN38;SN 38;SN-38,Colorectal,,732234,Chemotherapy,Metabolite of CPT-11;topoisomerase inhibitor
Liposome Encapsulated Mitoxantrone,,,NO,Phase II Antineoplastic agent. NeoPharm.,LE Mitoxantrone;Liposomal Mitoxantrone,Other cancer,LEM,,Chemotherapy,Antitumor antibiotic
Liposome Encapsulated Paclitaxel,,,NO,"Phase II/III, Phase II ovarian, Phase III NSCLC Taxane. Neopharm, Pharmacia.",LE Paclitaxel;Liposomal Paclitaxel,Breast;gastric;head & neck;lung;ovarian cancer,LEP,,Chemotherapy,Natural product
Liposome encapsulated recombinant interleukin-2,,,NO,"Treatment of brain and CNS, kidney and renal pelvis tumors.",,,,,"Biologic therapy (BRM, immunotherapy)",
